Name,10/27/21,10/28/21,10/31/21,11/04/21,11/05/21,11/06/21,11/08/21,11/11/21,11/21/21,11/22/21,11/24/21,11/26/21,11/30/21,12/02/21,12/05/21,12/11/21,12/12/21,12/15/21,12/17/21,12/26/21,12/30/21,12/31/21,01/06/22,01/09/22,01/18/22,01/19/22,01/20/22,01/24/22,01/25/22,01/26/22,02/02/22,02/05/22,02/07/22,02/27/22
AMD AMD Radeon Pro W5500 Single-Fan 8GB GDDR6,,,,,,,,,,,,,,,,,,399.99,399.99,399.99,399.99,399.99,,,,,,,,,,,,
AMD AMD Radeon Pro W6800 Single-Fan 32GB GDDR6,,,,,,,,,,,,,,,,,,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99,2249.99
AMD AMD Radeon Pro WX 3100 Single-Fan 4GB GDDR5,,,,,,,,,,,,,,,,,,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,,,,199.99
ASRock AMD Radeon RX 6500 XT Phantom Gaming D Overclocked Dual Fan 4GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99
ASRock AMD Radeon RX 6600 XT Challenger Dual-Fan 8GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.99
ASRock AMD Radeon RX 6700 XT Challenger D Dual-Fan 12GB GDDR6,,,,,,,,,,,,,,,,,,,,899.99,899.99,899.99,899.99,899.99,,,,,,,,,,
ASRock AMD Radeon RX 6700 XT Challenger D Overclocked Dual-Fan 12GB GDDR6,,,,,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99,849.99
ASRock AMD Radeon RX 6800 Phantom Gaming Overclocked Triple-Fan 16GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,999.99,,,,,,,,,,
ASRock AMD Radeon RX 6800 XT Phantom Gaming Overclocked Triple-Fan 16GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349.99,1349.99,1349.99,1229.99
ASRock AMD Radeon RX 6800 XT Taichi X Overclocked Triple-Fan 16GB GDDR6,,,,,,,,1269.99,,,,,,,,,,,,,,,,,,,,,,,,,,
ASRock AMD Radeon RX 6900 XT Formula Overclocked Triple-Fan 16GB GDDR6,,,,,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1999.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1749.99,1579.99
