Name,Min $,Max $
Ryzen 3 3200G,99.99,139.99
Ryzen 5 3400G,169.99,179.99
Ryzen 5 3600,199.99,249.99
Ryzen 5 3600X,259.99,259.99
Ryzen 5 5600X,299.99,299.99
Ryzen 7 3700X,299.99,299.99
Ryzen 7 3800X,319.99,349.99
Ryzen 7 3800XT,349.99,369.99
Ryzen 7 5800X,449.99,449.99
Ryzen 9 3900X,469.99,549.99
Ryzen 9 3900XT,499.99,569.99
Ryzen 9 3950X,649.99,679.99
Ryzen 9 5900X,549.99,549.99
Ryzen 9 5950X,799.99,799.99
Ryzen Threadripper 3960X,1399.99,1599.99
Ryzen Threadripper 3970X,1999.99,2199.99
Ryzen Threadripper 3990X,3899.99,4999.99
Core i3-10100,99.99,99.99
Core i3-10100F,99.99,99.99
Core i3-9100F,99.99,99.99
Core i5-10400,149.99,149.99
Core i5-10400F,139.99,139.99
Core i5-10600K,229.99,249.99
Core i5-9400,149.99,149.99
Core i5-9600K,169.99,169.99
Core i7-10700,279.99,299.99
Core i7-10700K,349.99,349.99
Core i7-9700F,189.99,229.99
Core i7-9700K,219.99,249.99
Core i9-10850K,399.99,399.99
Core i9-10900,399.99,429.99
Core i9-10900K,469.99,499.99
Core i9-10900KF,569.99,569.99
Core i9-10900X,499.99,499.99
Core i9-10920X,579.99,599.99
Core i9-10940X,699.99,699.99
Core i9-10980XE,899.99,949.99
Core i9-9900,289.99,329.99
Core i9-9900K,319.99,369.99
